Nome abreviado do estrato;Código do estrato;Nome do Município;Código do Município
Acre exceto Rio Branco;1250;Acrelândia;1200013
Acre exceto Rio Branco;1250;Assis Brasil;1200054
Acre exceto Rio Branco;1250;Brasiléia;1200104
Acre exceto Rio Branco;1250;Bujari;1200138
Acre exceto Rio Branco;1250;Capixaba;1200179
Acre exceto Rio Branco;1250;Cruzeiro do Sul;1200203
Acre exceto Rio Branco;1250;Epitaciolândia;1200252
Acre exceto Rio Branco;1250;Feijó;1200302
Acre exceto Rio Branco;1250;Jordão;1200328
Acre exceto Rio Branco;1250;Mâncio Lima;1200336
Acre exceto Rio Branco;1250;Manoel Urbano;1200344
Acre exceto Rio Branco;1250;Marechal Thaumaturgo;1200351
Acre exceto Rio Branco;1250;Plácido de Castro;1200385
Acre exceto Rio Branco;1250;Porto Walter;1200393
Acre exceto Rio Branco;1250;Rodrigues Alves;1200427
Acre exceto Rio Branco;1250;Santa Rosa do Purus;1200435
Acre exceto Rio Branco;1250;Senador Guiomard;1200450
Acre exceto Rio Branco;1250;Sena Madureira;1200500
Acre exceto Rio Branco;1250;Tarauacá;1200609
Acre exceto Rio Branco;1250;Xapuri;1200708
Acre exceto Rio Branco;1250;Porto Acre;1200807
Agreste da Paraíba;2551;Alagoa Grande;2500304
Agreste da Paraíba;2551;Alagoa Nova;2500403
Agreste da Paraíba;2551;Alagoinha;2500502
Agreste da Paraíba;2551;Araçagi;2500809
Agreste da Paraíba;2551;Areia;2501104
Agreste da Paraíba;2551;Baía da Traição;2501401
Agreste da Paraíba;2551;Bananeiras;2501500
Agreste da Paraíba;2551;Belém;2501906
Agreste da Paraíba;2551;Borborema;2502706
Agreste da Paraíba;2551;Caiçara;2503605
Agreste da Paraíba;2551;Caldas Brandão;2503803
Agreste da Paraíba;2551;Capim;2504033
Agreste da Paraíba;2551;Cuitegi;2505204
Agreste da Paraíba;2551;Cuité de Mamanguape;2505238
Agreste da Paraíba;2551;Curral de Cima;2505279
Agreste da Paraíba;2551;Duas Estradas;2505808
Agreste da Paraíba;2551;Guarabira;2506301
Agreste da Paraíba;2551;Gurinhém;2506400
Agreste da Paraíba;2551;Ingá;2506806
Agreste da Paraíba;2551;Itabaiana;2506905
Agreste da Paraíba;2551;Itapororoca;2507101
Agreste da Paraíba;2551;Itatuba;2507200
Agreste da Paraíba;2551;Jacaraú;2507309
Agreste da Paraíba;2551;Juarez Távora;2507606
Agreste da Paraíba;2551;Juripiranga;2507903
Agreste da Paraíba;2551;Lagoa de Dentro;2508208
Agreste da Paraíba;2551;Logradouro;2508554
Agreste da Paraíba;2551;Marcação;2509057
Agreste da Paraíba;2551;Mari;2509107
Agreste da Paraíba;2551;Mataraca;2509305
Agreste da Paraíba;2551;Matinhas;2509339
Agreste da Paraíba;2551;Mogeiro;2509404
Agreste da Paraíba;2551;Mulungu;2509800
Agreste da Paraíba;2551;Pilar;2511509
Agreste da Paraíba;2551;Pilões;2511608
Agreste da Paraíba;2551;Pilõezinhos;2511707
Agreste da Paraíba;2551;Pirpirituba;2511806
Agreste da Paraíba;2551;Pedro Régis;2512721
Agreste da Paraíba;2551;Riachão do Bacamarte;2512754
Agreste da Paraíba;2551;Riachão do Poço;2512762
Agreste da Paraíba;2551;Salgado de São Félix;2513109
Agreste da Paraíba;2551;São José dos Ramos;2514453
Agreste da Paraíba;2551;São Miguel de Taipu;2515005
Agreste da Paraíba;2551;Sapé;2515302
Agreste da Paraíba;2551;Serra da Raiz;2515609
Agreste da Paraíba;2551;Serraria;2515906
Agreste da Paraíba;2551;Sertãozinho;2515930
Agreste da Paraíba;2551;Sobrado;2515971
Agreste de Pernambuco;2653;Agrestina;2600302
Agreste de Pernambuco;2653;Águas Belas;2600500
Agreste de Pernambuco;2653;Alagoinha;2600609
Agreste de Pernambuco;2653;Altinho;2600807
Agreste de Pernambuco;2653;Angelim;2601003
Agreste de Pernambuco;2653;Barra de Guabiraba;2601300
Agreste de Pernambuco;2653;Belo Jardim;2601706
Agreste de Pernambuco;2653;Bezerros;2601904
Agreste de Pernambuco;2653;Bom Conselho;2602100
Agreste de Pernambuco;2653;Bom Jardim;2602209
Agreste de Pernambuco;2653;Bonito;2602308
Agreste de Pernambuco;2653;Brejão;2602407
Agreste de Pernambuco;2653;Brejo da Madre de Deus;2602605
Agreste de Pernambuco;2653;Buíque;2602803
Agreste de Pernambuco;2653;Cachoeirinha;2603108
Agreste de Pernambuco;2653;Caetés;2603207
Agreste de Pernambuco;2653;Calçado;2603306
Agreste de Pernambuco;2653;Camocim de São Félix;2603504
Agreste de Pernambuco;2653;Canhotinho;2603702
Agreste de Pernambuco;2653;Capoeiras;2603801
Agreste de Pernambuco;2653;Caruaru;2604106
Agreste de Pernambuco;2653;Casinhas;2604155
Agreste de Pernambuco;2653;Correntes;2604700
Agreste de Pernambuco;2653;Cumaru;2604908
Agreste de Pernambuco;2653;Cupira;2605004
Agreste de Pernambuco;2653;Feira Nova;2605400
Agreste de Pernambuco;2653;Frei Miguelinho;2605806
Agreste de Pernambuco;2653;Garanhuns;2606002
Agreste de Pernambuco;2653;Gravatá;2606408
Agreste de Pernambuco;2653;Iati;2606507
Agreste de Pernambuco;2653;Ibirajuba;2606705
Agreste de Pernambuco;2653;Itaíba;2607505
